id	name	textpath	key	link	hassubcats	hasproducts	parentkey
	Retaining Rings	Home:Fasteners:Retaining Rings	N-8mc	http://www.grainger.com/Grainger/retaining-rings/fasteners/ecatalog/N-8mc?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi6
	Rivets	Home:Fasteners:Rivets	N-8mf	http://www.grainger.com/Grainger/rivets/fasteners/ecatalog/N-8mf?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi6
	Screws	Home:Fasteners:Screws	N-8mn	http://www.grainger.com/Grainger/screws/fasteners/ecatalog/N-8mn?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi6
	Spacers and Standoffs	Home:Fasteners:Spacers and Standoffs	N-8ng	http://www.grainger.com/Grainger/spacers-and-standoffs/fasteners/ecatalog/N-8ng?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi6
	Staples	Home:Fasteners:Staples	N-8no	http://www.grainger.com/Grainger/staples/fasteners/ecatalog/N-8no?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi6
	Thread Insert	Home:Fasteners:Thread Insert	N-8nr	http://www.grainger.com/Grainger/thread-insert/fasteners/ecatalog/N-8nr?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi6
	Washers	Home:Fasteners:Washers	N-8ob	http://www.grainger.com/Grainger/washers/fasteners/ecatalog/N-8ob?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi6
	Automotive Chemicals	Home:Fleet and Vehicle Maintenance:Automotive Chemicals	N-ct1	http://www.grainger.com/Grainger/automotive-chemicals/fleet-and-vehicle-maintenance/ecatalog/N-ct1?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-cxn
	Automotive Cleaning/Appearance	Home:Fleet and Vehicle Maintenance:Automotive Cleaning/Appearance	N-ct7	http://www.grainger.com/Grainger/automotive-cleaning-appearance/fleet-and-vehicle-maintenance/ecatalog/N-ct7?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-cxn
	Automotive Diagnostics and Inspection	Home:Fleet and Vehicle Maintenance:Automotive Diagnostics and Inspection	N-kfj	http://www.grainger.com/Grainger/automotive-diagnostics-and-inspection/fleet-and-vehicle-maintenance/ecatalog/N-kfj?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-cxn
	Automotive Electrical	Home:Fleet and Vehicle Maintenance:Automotive Electrical	N-ctd	http://www.grainger.com/Grainger/automotive-electrical/fleet-and-vehicle-maintenance/ecatalog/N-ctd?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-cxn
